method,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy
com.puppycrawl.tools.checkstyle.utils.checkutils.InputCheckUtilsTest:equals,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,1.0,-1.0,-1.0,1.0,0.1111111111111111,0.0,true
com.puppycrawl.tools.checkstyle.AstTreeStringPrinterTest:testParseFileWithJavadoc2,2,2,6.0,5.0,3.0,1.0,1.0,0.5,5.0,4.0,2.5,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.2857142857142857,true
com.puppycrawl.tools.checkstyle.AstTreeStringPrinterTest:testParseFileWithJavadoc3,3,3,6.0,5.0,2.0,1.0,1.0,0.3333333333333333,5.0,4.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.42857142857142855,true
com.puppycrawl.tools.checkstyle.AstTreeStringPrinterTest:testParseFileWithJavadoc1,2,2,6.0,5.0,3.0,1.0,1.0,0.5,5.0,4.0,2.5,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.2857142857142857,true
com.puppycrawl.tools.checkstyle.api.DetailAST:setFirstChild,2,2,23.0,13.0,11.5,0.0,0.0,0.0,23.0,13.0,11.5,0.0,0.0,0.0,0.0,0.5,0.043478260869565216,0.0,true
com.puppycrawl.tools.checkstyle.utils.CommonUtilsTest:testIsIdentifierEmptyString,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheckTest:testSetHeader,2,2,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,true
com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.ParenPadTest:testMethodParen,3,3,13.0,10.0,4.333333333333333,0.0,0.0,0.0,13.0,10.0,4.333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.07692307692307693,0.0,true
com.puppycrawl.tools.checkstyle.gui.Main:main,1,1,7.0,7.0,7.0,10.0,10.0,10.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.11764705882352941,true
com.puppycrawl.tools.checkstyle.utils.checkutils.InputCheckUtilsTest:doSomething,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,1.0,-1.0,-1.0,1.0,0.1111111111111111,0.0,true
