,graph,complexity
582,cfg.long_time_expected_width.dot,5
583,cfg.screen_columns.dot,7
584,cfg.iclose.dot,5
585,cfg.safe_read.dot,7
586,cfg.read_line.dot,31
587,cfg.check_and_close.dot,7
588,cfg.xstrtoumax.dot,-296
589,cfg.src_to_dest_free.dot,-1
590,cfg.sha224_init_ctx.dot,-1
591,cfg.hex_digits.dot,4
592,cfg.search_table.dot,4
593,cfg.advance_seq.dot,2
594,cfg.group_number.dot,6
595,cfg.lstatat.dot,-1
596,cfg.devlist_compare.dot,-1
597,cfg.fread_file.dot,20
598,cfg.get_point.dot,31
599,cfg.initseq.dot,-1
600,cfg.fdutimensat.dot,7
601,cfg.check_ordering_compatibility.dot,2
602,cfg.touch.dot,23
603,cfg.order.dot,4
604,cfg.mbschr.dot,7
605,cfg.re_node_set_init_1.dot,2
606,cfg.debug_key.dot,17
607,cfg.next_prime.dot,4
608,cfg.rpl_nanosleep.dot,7
609,cfg.wc_truncate.dot,4
610,cfg.randint_get_source.dot,-1
611,cfg.set_LD_PRELOAD.dot,5
612,cfg.search_duplicated_node.dot,5
613,cfg.describe_change.dot,12
614,cfg.rotr16.dot,-1
615,cfg.walk_tree.dot,2
616,cfg.sort_buffer_size.dot,12
617,cfg.freecon.dot,-1
618,cfg.mpz_get_str.dot,-1
619,cfg.memchr2.dot,12
620,cfg.sha384_buffer.dot,-1
621,cfg.copy_fd.dot,7
622,cfg.stat_for_mode.dot,-1
623,cfg.gobble_file.dot,100
624,cfg.xfts_open.dot,1
625,cfg.process_path.dot,8
626,cfg.savewd_chdir.dot,18
627,cfg.free_dfa_content.dot,11
628,cfg.hash_reset_tuning.dot,-1
629,cfg.fmt_to_mask.dot,20
630,cfg.match_ctx_clean.dot,4
631,cfg.strcmp_df_name.dot,6
632,cfg.isaac_seed.dot,3
633,cfg.base32_decode_ctx.dot,19
634,cfg.print_uptime.dot,19
635,cfg.put_space.dot,5
636,cfg.mark_ancestor_dirs.dot,3
637,cfg.source_is_dst_backup.dot,6
638,cfg.rev_strcmp_mtime.dot,-1
639,cfg.no_more_lines.dot,-1
640,cfg.reset_line.dot,-1
641,cfg.parse_options.dot,36
642,cfg.prep_non_filename_text.dot,2
643,cfg.parse_datetime2.dot,1088
644,cfg.nan_compare.dot,-1
645,cfg.xstrdup.dot,-1
646,cfg.rpl_re_compile_pattern.dot,2
647,cfg.print_group_list.dot,14
648,cfg.exclude_fnmatch.dot,6
649,cfg.prune_impossible_nodes.dot,14
650,cfg.getgidbyname.dot,8
651,cfg.add_exclude.dot,21
652,cfg.free_workarea_compile.dot,2
653,cfg.rpl_re_compile_fastmap.dot,4
654,cfg.strcmp_extension.dot,-1
655,cfg.i_ring_push.dot,2
656,cfg.build_collating_symbol.dot,2
657,cfg.quote_name_width.dot,3
658,cfg.out_mount_point.dot,10
659,cfg.parse_signal_action_params.dot,7
660,cfg.make_node_op_equals.dot,-1
661,cfg.list_entries_users.dot,6
662,cfg.sha384_read_ctx.dot,2
663,cfg.binary_operator.dot,40
664,cfg.proc_header.dot,2
665,cfg.print_size.dot,3
666,cfg.readlinebuffer_delim.dot,8
667,cfg.set_signal_proc_mask.dot,7
668,cfg.reset_fields.dot,-1
669,cfg.lsetfileconat.dot,19
670,cfg.sha256_process_bytes.dot,9
671,cfg.re_node_set_insert.dot,9
672,cfg.hash_lookup.dot,5
673,cfg.locale_charset.dot,3
674,cfg.tail_file.dot,15
675,cfg.randint_genmax.dot,7
676,cfg.ino_compare.dot,-1
677,cfg.seq_fast.dot,15
678,cfg.format_user_or_group.dot,4
679,cfg.argmatch_invalid.dot,-1
680,cfg.re_node_set_alloc.dot,2
681,cfg.savewd_process_files.dot,10
682,cfg.debug_print_current_time.dot,20
683,cfg.queue_pop.dot,2
684,cfg.prog_fprintf.dot,-1
685,cfg.quotearg_buffer_restyled.dot,105
686,cfg.create_tree.dot,-1
687,cfg.multiple_bits_set.dot,-1
688,cfg.mpz_sub.dot,1
689,cfg.transit_state.dot,7
690,cfg.fts_compar.dot,-1
691,cfg.update_timespec.dot,9
692,cfg.bitset_contain.dot,-1
693,cfg.string_to_security_class.dot,-1
694,cfg.build_argv.dot,39
695,cfg.rev_strcmp_df_size.dot,6
696,cfg.read_char.dot,3
697,cfg.factor_insert_refind.dot,2
698,cfg.print_formatted.dot,32
699,cfg.cache_round.dot,3
700,cfg.convert_abs_rel.dot,5
701,cfg.re_string_peek_byte_case.dot,9
